source,comment,Product,date
Amazon,They don’t last long in our house.,A,2021-04-16 00:00:00.000000
Amazon,"Umm Yum?  I love these and great price, well it's Amazon we want easy buying like me without interactions lol...",A,2020-08-04 00:00:00.000000
Amazon,Fresh and full of flavor.,A,2021-05-12 00:00:00.000000
Amazon,"Good buy, and good product",A,2021-05-10 00:00:00.000000
Amazon,perfect for the cookie and milk lover,A,2021-04-14 00:00:00.000000
Amazon,Good ol' Oreos. Delicious since 1912.,A,2021-03-09 00:00:00.000000
Amazon,Bought as a surprise gift!!! Didn’t disappoint!,A,2021-03-21 00:00:00.000000
Amazon,Product was good chocolatety,A,2021-05-13 00:00:00.000000
Amazon,My daughter ate all my boyfriends Oreos. I order this 3 pack as a peace offering. It worked.,A,2020-09-04 00:00:00.000000
Amazon,good deal on Oreo's .,A,2021-05-09 00:00:00.000000
Amazon,Oreos revertida de chocolate ☺,A,2021-05-04 00:00:00.000000
Amazon,"easy transaction, exactly as described",A,2021-04-09 00:00:00.000000
Amazon,the best cookies and price,A,2021-04-06 00:00:00.000000
Amazon,I like the value for money.,A,2021-03-15 00:00:00.000000
Amazon,They were all squished in transit and tasted kind of off. My kids opted to just toss them out.,A,2021-08-12 00:00:00.000000
Amazon,Great deal,A,2021-06-04 00:00:00.000000
Amazon,Very yummy and great size,A,2021-03-15 00:00:00.000000
Amazon,Can never go wrong with Oreos 😇,A,2021-02-03 00:00:00.000000
Amazon,They’re fresh and delicious,A,2021-04-13 00:00:00.000000
Amazon,"I like to dip Oreos in milk. This order must be old because the filling crumbles, tastes gritty and cookies don't taste as good as the ones I've bought previously. No expiration date but defiantly do not recommend. Stuck with 3 packages of stale cookies.",A,2020-07-29 00:00:00.000000
Amazon,Always fresh.,A,2021-05-29 00:00:00.000000
Amazon,Deliciosas y frescas,A,2021-04-20 00:00:00.000000
Amazon,"Great item! Arrived in excellent condition,  none of the cookies were  smashed,  they were well-packed.",A,2020-07-06 00:00:00.000000
Amazon,DONT DO IT!!! GO WITH THE DOUBLE STUFF DONT MAKE THE SAME MISTAKE I DID!!!,A,2020-08-27 00:00:00.000000
Amazon,It's delicious. It's crispy and fragrant. It's chocolate. I love it,A,2020-11-06 00:00:00.000000
Amazon,"fresh, no crumbles after mailing",A,2021-02-25 00:00:00.000000
Amazon,Greatest shopping,A,2021-05-08 00:00:00.000000
Amazon,Milks favorite cookie,A,2021-04-11 00:00:00.000000
Amazon,Yummy time,A,2021-05-04 00:00:00.000000
Amazon,Value,A,2021-05-29 00:00:00.000000
